CTF,CTF2,CTF3
0.211801,-0.098164,-0.91038
0.041351,-0.027942,-0.8969
0.293068,-0.0641,-0.84569
0.526765,0.004011,-0.86709
0.726655,0.061253,-0.82819
0.878819,0.115875,-0.81512
0.972237,0.13518,-0.79984
0.999653,0.167936,-0.81657
0.958205,0.042532,-0.82025
0.849778,0.087332,-0.84287
0.681039,0.103158,-0.85119
0.463117,-0.049908,-0.86755
0.210953,-0.040555,-0.90162
0.057669,0.085633,-0.87709
0.323322,-0.03556,-0.83121
0.566344,-0.020501,-0.83677
0.768297,0.036275,-0.83792
0.913409,0.140368,-0.84783
0.989861,0.059647,-0.83378
0.99084,0.020963,-0.83645
0.91523,0.091093,-0.8148
0.767877,0.029224,-0.83146
0.559417,0.15199,-0.83717
0.305588,0.010873,-0.8696
0.026137,-0.016839,-0.84746
0.256661,0.027357,-0.83845
0.519746,0.053022,-0.82854
0.741185,0.093205,-0.83513
0.902007,0.210469,-0.80555
0.987927,0.112289,-0.75778
0.990686,0.143766,-0.79073
0.908963,0.161724,-0.80551
0.748685,0.057649,-0.86784
0.522758,-0.038935,-0.87789
0.250116,-0.034282,-0.86278
0.045749,-0.078038,-0.839
0.338783,0.105652,-0.84703
0.602603,0.066994,-0.83369
0.812941,0.070398,-0.81836
0.949894,0.11045,-0.84024
0.999917,0.068723,-0.84678
0.957274,0.108931,-0.86662
0.824804,-0.006383,-0.8334
0.613911,0.057031,-0.83162
0.343716,0.100573,-0.85847
0.03944,0.040738,-0.84352
0.269864,0.046513,-0.85399
0.554065,-0.019358,-0.85118
0.784887,0.025439,-0.85081
0.938781,0.137506,-0.81801
0.999426,0.108321,-0.81921
0.959592,0.077008,-0.82026
0.822132,0.133446,-0.83638
0.599958,0.055165,-0.8464
0.31502,0.059741,-0.873
0.003787,-0.015624,-0.85548
0.323408,0.007855,-0.85599
0.610074,0.094248,-0.84809
0.832865,0.166575,-0.82793
0.967121,0.223643,-0.80992
0.997297,0.086627,-0.80213
0.918909,0.035553,-0.84531
0.739324,0.105448,-0.85903
0.477268,-0.030848,-0.84107
0.161035,0.003739,-0.85996
0.174449,0.056354,-0.87259
0.491419,0.004271,-0.85766
0.753498,0.069071,-0.85446
0.929956,0.087979,-0.82429
0.999412,0.090569,-0.83372
0.952575,0.085635,-0.8508
0.793668,0.070554,-0.85431
0.540273,0.062392,-0.83511
0.221567,0.024534,-0.84564
0.124865,0.00659,-0.85659
0.457423,0.062914,-0.8495
0.735411,0.0758,-0.80986
0.924123,0.124307,-0.83103
0.999266,0.083624,-0.83341
0.95027,0.049683,-0.83403
0.781958,0.09393,-0.8474
0.514328,0.076229,-0.8582
0.180371,-0.029143,-0.85181
0.177824,-0.025724,-0.84911
0.514303,0.081475,-0.83562
0.785119,0.041413,-0.83994
0.954167,0.044557,-0.83617
0.998121,0.101929,-0.84364
0.909857,0.104573,-0.84856
0.699807,0.044029,-0.82799
0.394971,0.033877,-0.81567
0.03566,0.027246,-0.83518
0.329694,0.120276,-0.85991
0.651,0.186279,-0.84314
0.883416,0.037403,-0.80877
0.99371,0.181054,-0.80287
0.965212,0.168547,-0.82836
0.800553,0.01746,-0.84507
0.521755,0.119497,-0.84714
0.167525,-0.028682,-0.83245
0.211929,-0.057816,-0.82445
0.561906,0.389355,-0.85985
0.831114,0.037804,-0.84141
0.979265,0.11357,-0.83291
0.983306,-0.131073,-0.83926
0.841239,0.412239,-0.83156
0.572903,-0.123342,-0.82947
0.217495,0.045713,-0.85444
0.171965,-0.025749,-0.84408
0.536406,-0.325174,-0.83043
0.81965,-0.121779,-0.84232
0.977169,0.867064,-0.84987
0.983289,0.035489,-0.80608
0.835625,0.154188,-0.84634
0.555981,0.227406,-0.86272
0.187426,0.194314,-0.83024
0.212103,0.017607,-0.8274
0.578816,0.192098,-0.85028
0.853201,0.18635,-0.82461
0.98985,0.117696,-0.83616
0.965152,0.211708,-0.84593
0.7817,0.050329,-0.82802
0.468396,0.254731,-0.8402
0.076207,-0.096442,-0.8471
0.329883,-0.028971,-0.82558
0.68157,0.0292,-0.84124
0.918758,0.031018,-0.85537
0.999946,0.167787,-0.84053
0.909818,-0.034312,-0.82989
0.662404,0.009579,-0.84609
0.299268,0.070629,-0.84174
0.117176,-0.000783,-0.83162
0.514208,-0.054788,-0.8286
0.821477,0.098117,-0.84345
0.983552,0.035875,-0.82421
0.970178,-0.154957,-0.8313
0.782236,-0.106287,-0.84753
0.45222,0.059028,-0.84322
0.038976,0.06521,-0.82731
0.382544,0.280556,-0.83458
0.734784,-0.316239,-0.8246
0.951916,0.180855,-0.82559
0.992325,-0.642983,-0.83016
0.846942,0.768992,-0.81888
0.541588,-1.114497,-0.82237
0.132776,-0.331995,-0.82892
0.302441,0.717229,-0.83562
0.680863,-0.304168,-0.83598
0.929075,0.035792,-0.84181
0.997866,-0.027555,-0.84663
0.872342,-0.168579,-0.83218
0.575495,0.542934,-0.81756
0.164424,0.021007,-0.82259
0.280314,0.103231,-0.82808
0.670363,-0.165534,-0.83693
0.927072,0.07288,-0.8468
0.997632,-2.190237,-0.83262
0.866224,-0.073936,-0.84533
0.557989,-0.818549,-0.82154
